facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
NYAMETABURO DISP,KEHANCHA,BUKIRA WEST,MIGORI,KURIA EAST,4,MOH,-1.234433,34.517256
NYANGOGE DISP,MASABA,BUGEMBE EAST,MIGORI,KURIA EAST,4,MOH,-1.16047,34.4726
TARAGANYA DISP,KEHANCHA,BUKIRA EAST,MIGORI,KURIA EAST,4,MOH,-1.23596,34.6024
BWARE DISP,NYATIKE,NORTH KADEM,MIGORI,KURIA EAST,4,MOH,-0.866402,34.2302
DEDE DISP,AWENDO,WEST SAKWA,MIGORI,KURIA EAST,4,MOH,-0.814374,34.5331
KANYAGWALA DISP,AWENDO,CENTRAL SAKWA,MIGORI,KURIA EAST,4,MOH,-0.849252,34.5437
KANYAMGONY DISP,AWENDO,WEST SAKWA,MIGORI,KURIA EAST,4,MOH,-0.834326,34.5118
KANYOUR DISP,NYATIKE,CENTRAL KADEM,MIGORI,KURIA EAST,4,MOH,-0.904643,34.1706
KUJA DISP,AWENDO,NORTH SAKWA,MIGORI,KURIA EAST,4,MOH,-0.816578,34.5661
NDIWA DISP,NYATIKE,NORTH KADEM,MIGORI,KURIA EAST,4,MOH,-0.884373,34.2712
NYAKURU DISP,AWENDO,NORTH SAKWA,MIGORI,KURIA EAST,4,MOH,-0.8,34.5
NYAMARAGA DISP,SUBA WEST,SUNA WASIMBETE,MIGORI,KURIA EAST,4,MOH,-1.1323,34.3712
OGWEDHI DISP,SUBA EAST,SUNA RABUOR,MIGORI,KURIA EAST,4,MOH,-1.0671,34.5914
OLASI DISP,NYATIKE,KALER,MIGORI,KURIA EAST,4,MOH,-1.08044,34.2112
ONGITO  DISP,NYATIKE,SOUTH EAST KADEM,MIGORI,KURIA EAST,4,MOH,-0.9324,34.3223
OSOGO DISP,URIRI,WEST KANYAMKAGO,MIGORI,KURIA EAST,4,MOH,-0.977739,34.4206
OTHORO DISP,URIRI,WEST KANYAMKAGO,MIGORI,KURIA EAST,4,MOH,-0.9423,34.3521
OTHOTHRAKUOM DISP,NYATIKE,SOUTH KADEM,MIGORI,KURIA EAST,4,MOH,-0.995204,34.1944
OYANI DISP,URIRI,SOUTH KANYAMKAGO,MIGORI,KURIA EAST,4,MOH,-1.00547,34.5168
RABONDO DISP,AWENDO,WEST SAKWA,MIGORI,KURIA EAST,4,MOH,-0.8424,34.4925
RIAT DISP,KARUNGU,WEST KARUNGU,MIGORI,KURIA EAST,4,MOH,-0.797676,34.1645
SIBUOCHE DISP,URIRI,WEST KANYAMKAGO,MIGORI,KURIA EAST,4,MOH,-0.969737,34.3673
WATH ONGER DISP,NYATIKE,SOUTH KADEM,MIGORI,KURIA EAST,4,MOH,-0.956398,34.1859
ANDIGO OPANGA DISP,UPPER NYAKACH,THURDIBUORO,KISUMU,NYAKACH,4,MOH,-0.362403,34.8405
BONDE DISP,LOWER NYAKACH,NYALUNYA,KISUMU,NYAKACH,4,MOH,-0.314807,34.919277
BUNDE DISPENSARY,NYANDO,KAKOLA,KISUMU,NYAKACH,4,MOH,-0.20166,34.9037
